time,equity,equity_norm,drawdown
2025-06-04 11:00:00,9999.643637282314,0.9999643637282314,0.0
2025-06-09 21:30:00,10005.301053823454,1.0005301053823454,0.0
2025-06-10 12:00:00,10004.881056454162,1.0004881056454162,-4.197748443877217e-05
2025-06-10 20:00:00,10004.203422817654,1.0004203422817655,-0.00010970494539792317
2025-06-26 09:30:00,10007.761539405286,1.0007761539405287,0.0
2025-06-29 23:00:00,10007.39930979222,1.000739930979222,-3.6194868516876635e-05
2025-07-03 14:30:00,10006.747975893613,1.0006747975893613,-0.00010127774404717549
2025-07-09 03:30:00,10006.115056501416,1.0006115056501417,-0.0001645205970773295
2025-07-09 15:00:00,10006.175801858803,1.0006175801858803,-0.0001584507724569647
2025-07-11 16:00:00,10016.083443478889,1.001608344347889,0.0
