time,equity
2025-06-20T17:00:00,9999.802657863813
2025-06-26T20:30:00,9999.627509958416
2025-06-27T08:30:00,9999.465907050064
2025-06-29T23:00:00,9999.31685681593
2025-06-30T09:30:00,9999.16723508395
2025-07-04T05:30:00,9999.01944260303
2025-07-09T07:00:00,9998.883217498853
2025-07-10T16:30:00,10000.85873908669
2025-07-15T14:00:00,10003.677746614707
2025-07-17T15:30:00,10002.38623800041
2025-07-19T06:00:00,10003.038276599438
2025-07-22T07:30:00,10002.140335268992
2025-07-24T08:00:00,10000.781141654283
2025-07-29T04:00:00,10001.028019301799
2025-07-29T18:30:00,10001.110601204626
2025-08-12T17:30:00,10000.629372411124
2025-08-25T16:30:00,10004.288853033506
2025-08-29T13:00:00,10005.551592072243
2025-09-02T00:00:00,10003.121867029135
2025-09-02T13:00:00,10003.499639410658
2025-09-04T23:00:00,10003.753252225912
2025-09-07T02:00:00,10003.942189896963
2025-09-07T20:00:00,10004.011091309947
2025-09-08T02:00:00,10003.92517228534
2025-09-08T08:00:00,10003.83896884353
2025-09-09T01:00:00,10003.753233345722
2025-09-09T07:00:00,10004.223901170679
2025-09-09T15:30:00,10004.806559754163
2025-09-11T14:00:00,10004.720327309215
2025-09-12T16:00:00,10004.634475571074
2025-09-12T17:00:00,10004.636494675746
2025-09-15T09:30:00,10004.549243007752
2025-09-16T17:00:00,10004.68824627478
2025-09-17T11:30:00,10004.602783099783
2025-09-18T23:30:00,10004.80637665196
2025-09-25T01:30:00,10004.720935398278
