run_id,idx,close_time,open,high,low,close,volume,ema_fast_30m,ema_slow_30m,atr_30m,ema_fast_15m,ema_slow_15m,signal,trend_ok,atr_ok,vol_ok
run-20251017-171201,0,2025-09-17 18:00:00,115680.61,116288.27,115500.0,115504.48,518.00316,115504.48,115504.48,,115686.8010688197,115682.28948738893,0,1,0,1
run-20251017-171201,1,2025-09-17 18:30:00,115504.49,116333.33,114966.65,115961.73,2149.26578,115595.93000000001,115546.04818181817,1366.6800000000076,115689.79078286662,115683.07718744806,1,1,1,1
run-20251017-171201,2,2025-09-17 19:00:00,115961.73,115965.89,114720.81,115226.93,1278.12294,115522.13,115517.03743801652,1305.8800000000047,115641.96957695608,115670.84708052105,0,0,1,1
run-20251017-171201,3,2025-09-17 19:30:00,115226.93,115989.2,115068.33,115752.0,685.13073,115568.10400000002,115538.3976709241,1177.5433333333349,115640.6448959137,115669.89556337007,0,0,1,1
run-20251017-171201,4,2025-09-17 20:00:00,115752.0,115855.44,115582.45,115652.02,269.91258,115584.88720000003,115548.72697356736,951.4050000000025,115644.97085547437,115670.44397428328,0,0,1,1
run-20251017-171201,5,2025-09-17 20:30:00,115652.02,116140.2,115614.2,115807.68,323.60401,115629.44576000003,115572.2681577885,866.324000000002,115666.49014378854,115675.51668685408,0,0,1,1
run-20251017-171201,6,2025-09-17 21:00:00,115807.68,115900.0,115496.68,115621.47,131.66062,115627.85060800004,115576.74105253498,789.1566666666695,115665.9876029359,115675.22019841363,0,0,1,1
run-20251017-171201,7,2025-09-17 21:30:00,115621.47,115899.91,115307.33,115802.16,154.70545,115662.71248640004,115597.23368412271,761.0742857142884,115675.54694911539,115677.49549410606,0,0,1,1
run-20251017-171201,8,2025-09-17 22:00:00,115802.16,116120.0,115747.94,116038.39,181.3454,115737.84798912004,115637.33880374792,712.447500000002,115700.15870235529,115683.78192673682,0,1,1,1
run-20251017-171201,9,2025-09-17 22:30:00,116038.39,116334.66,116038.39,116229.52,348.25313,115836.18239129605,115691.17345795265,666.2055555555578,115741.9482677259,115694.87206952069,0,1,1,1
run-20251017-171201,10,2025-09-17 23:00:00,116229.52,116823.72,116199.99,116559.69,392.92134,115980.88391303684,115770.12950722968,661.9580000000017,115796.31512141865,115709.7711607408,0,1,1,1
run-20251017-171201,11,2025-09-17 23:30:00,116559.68,116990.68,116516.92,116558.64,550.42669,116096.43513042948,115841.8122792997,644.849090909092,115864.61087525035,115729.11041846729,0,1,1,1
run-20251017-171201,12,2025-09-18 00:00:00,116558.65,116656.96,116340.07,116447.59,286.31168,116166.66610434359,115896.88298118154,617.5191666666675,115907.33689022534,115742.78798103322,0,1,1,1
run-20251017-171201,13,2025-09-18 00:30:00,116447.6,116470.52,116092.76,116180.0,291.51767,116169.33288347488,115922.62089198321,599.0761538461554,115932.11289251481,115752.4415880027,0,1,1,1
run-20251017-171201,14,2025-09-18 01:00:00,116180.01,116460.41,116178.04,116350.65,151.47242,116205.59630677992,115961.53262907565,576.4542857142878,115965.54846402463,115764.61455970137,0,1,1,1
run-20251017-171201,15,2025-09-18 01:30:00,116350.65,116660.0,116340.0,116557.68,231.29416,116276.01304542393,116015.72784461422,501.69142857143015,116012.65484126225,115780.73031753508,0,1,1,1
run-20251017-171201,16,2025-09-18 02:00:00,116557.69,116869.46,116453.8,116634.84,209.48233,116347.77843633914,116072.01076783109,442.44714285714457,116067.93707569038,115799.58828654507,0,1,1,1
run-20251017-171201,17,2025-09-18 02:30:00,116634.84,116708.11,116429.55,116484.41,112.039,116375.10474907131,116109.50160711916,396.567857142859,116106.17157198486,115814.77255700284,0,1,1,1
run-20251017-171201,18,2025-09-18 03:00:00,116484.42,116959.96,116484.41,116950.47,206.1746,116490.17779925706,116185.95327919924,411.0364285714303,116158.76520735704,115834.03792950348,0,1,1,1
run-20251017-171201,19,2025-09-18 03:30:00,116950.46,117800.0,116896.93,117767.66,1355.88159,116745.67423940566,116329.74479927203,437.9700000000022,116270.1453067529,115869.10182238727,0,1,1,1
run-20251017-171201,20,2025-09-18 04:00:00,117767.66,117896.0,117543.15,117581.66,523.81901,116912.87139152453,116443.55527206548,434.3650000000021,116374.92846655661,115904.0421853013,0,1,1,1
run-20251017-171201,21,2025-09-18 04:30:00,117581.67,117750.0,117364.45,117372.7,315.35698,117004.83711321963,116528.02297460497,419.5771428571451,116462.43174479142,115935.942632611,0,1,1,1
