time,equity
2025-01-18T20:30:00,9999.753250856056
2025-01-19T00:00:00,9999.512268591376
2025-01-20T12:30:00,9998.727620196185
2025-03-26T04:00:00,9997.174503307795
2025-05-20T18:30:00,9996.702374846289
2025-07-17T23:00:00,9994.81558132974
2025-07-18T08:00:00,9993.288410496954
2025-07-21T16:00:00,9992.319814505569
2025-07-24T17:00:00,9991.278131913086
2025-07-29T14:30:00,9990.467125741327
2025-07-31T17:30:00,9989.788616483404
2025-08-04T16:00:00,9989.163011729694
2025-08-07T09:30:00,9988.62437126275
2025-08-08T14:30:00,9988.081210725515
2025-08-09T06:30:00,9987.557286032825
2025-08-11T02:30:00,9989.680890222535
2025-08-12T13:30:00,9988.961131410746
2025-08-13T14:00:00,9989.894869693546
