run_id,trade_id,entry_idx,exit_idx,entry_time,exit_time,side,qty,entry_price,exit_price,pnl
run-20251017-190949,444,3,4,2025-04-20 20:00:00,2025-04-20 20:30:00,long,0.0023626248809680054,84652.61,84773.21625,0.2048893925348782
run-20251017-190949,445,59,61,2025-04-22 00:00:00,2025-04-22 01:00:00,long,0.00228533722016877,87517.23,87182.27392857143,-0.8453370328917981
run-20251017-190949,446,142,158,2025-04-23 17:30:00,2025-04-24 01:30:00,long,0.002132719202891991,93771.99,93145.34821428571,-1.4161794090400182
run-20251017-190949,447,185,190,2025-04-24 15:00:00,2025-04-24 17:30:00,long,0.0021477436851564794,93102.83,93002.0642857143,-0.2963600488331786
run-20251017-190949,448,337,344,2025-04-27 19:00:00,2025-04-27 22:30:00,long,0.0021206775617162764,94288.29,94120.92642857143,-0.43483521011737597
run-20251017-190949,449,452,459,2025-04-30 04:30:00,2025-04-30 08:00:00,long,0.0021069621910195947,94897.93,94546.78535714286,-0.8196790565882586
run-20251017-190949,450,463,468,2025-04-30 10:00:00,2025-04-30 12:30:00,long,0.0021051682523009242,94971.01,94890.68785714287,-0.2490297888309645
run-20251017-190949,451,763,774,2025-05-06 16:00:00,2025-05-06 21:30:00,long,0.00211426701942994,94559.95,94473.10892857144,-0.2635384856682836
run-20251017-190949,452,823,829,2025-05-07 22:00:00,2025-05-08 01:00:00,long,0.0020584462704495566,97121.63,97034.95499999999,-0.25834801014654574
run-20251017-190949,453,1009,1016,2025-05-11 19:00:00,2025-05-11 22:30:00,long,0.0019125217000983985,104529.19,103886.54964285714,-1.308783553336523
run-20251017-190949,454,1021,1023,2025-05-12 01:00:00,2025-05-12 02:00:00,long,0.0019111903344291165,104588.31,103804.21285714285,-1.5782144357724457
run-20251017-190949,455,1034,1035,2025-05-12 07:30:00,2025-05-12 08:00:00,long,0.0018952154135310959,105453.23,104540.61285714286,-1.8092027893414577
run-20251017-190949,456,1195,1197,2025-05-15 16:00:00,2025-05-15 17:00:00,long,0.0019352629058258257,103252.35,103041.81535714286,-0.48728657389352636
run-20251017-190949,457,1240,1249,2025-05-16 14:30:00,2025-05-16 19:00:00,long,0.0019243466551733715,103833.0,103698.25535714286,-0.33916781820276154
run-20251017-190949,458,1352,1353,2025-05-18 22:30:00,2025-05-18 23:00:00,long,0.00190193642953331,105052.87,104979.44928571429,-0.21953515506811316
run-20251017-190949,459,1386,1411,2025-05-19 15:30:00,2025-05-20 04:00:00,long,0.0019127097636635335,104458.87,105698.70607142858,2.2910524696317482
run-20251017-190949,460,1438,1441,2025-05-20 17:30:00,2025-05-20 19:00:00,long,0.0018830404298381882,106129.05,105566.68285714285,-1.1386863911714544
run-20251017-190949,461,1479,1481,2025-05-21 14:00:00,2025-05-21 15:00:00,long,0.001863220498251526,107245.76,108208.11392857143,1.7127899514209017
run-20251017-190949,462,1617,1620,2025-05-24 11:00:00,2025-05-24 12:30:00,long,0.0018319346375217937,109095.99,108744.2782142857,-0.7241268292324304
run-20251017-190949,463,1755,1766,2025-05-27 08:00:00,2025-05-27 13:30:00,long,0.001824240887892567,109548.16,109894.76464285715,0.5522270102949545
run-20251017-190949,464,1837,1844,2025-05-29 01:00:00,2025-05-29 04:30:00,long,0.0018456006129428716,108286.32,107821.02,-0.9385275330354141
run-20251017-190949,465,2009,2012,2025-06-01 15:00:00,2025-06-01 16:30:00,long,0.00191045177389662,104600.7,104738.31964285715,0.1829292705349789
run-20251017-190949,466,2068,2072,2025-06-02 20:30:00,2025-06-02 22:30:00,long,0.001906220158718484,104834.82,105148.20535714286,0.5173267100479927
run-20251017-190949,467,2196,2199,2025-06-05 12:30:00,2025-06-05 14:00:00,long,0.0018959214153747206,105409.74,105300.80285714284,-0.28643438820224526
run-20251017-190949,468,2230,2245,2025-06-06 05:30:00,2025-06-06 13:00:00,long,0.0019451583499239945,102738.63,103551.30642857144,1.500531022352264
run-20251017-190949,469,2340,2360,2025-06-08 12:30:00,2025-06-08 22:30:00,long,0.0018918291066377913,105650.59,106044.65571428572,0.6654067426979186
run-20251017-190949,470,2382,2383,2025-06-09 09:30:00,2025-06-09 10:00:00,long,0.0018829874537501607,106153.74,106243.35892857144,0.0887631036194583
run-20251017-190949,471,2450,2470,2025-06-10 19:30:00,2025-06-11 05:30:00,long,0.0018168753858586809,110017.38,109524.59321428572,-0.9751082628998763
run-20251017-190949,472,2487,2488,2025-06-11 14:00:00,2025-06-11 14:30:00,long,0.0018222033359288252,109685.0,109775.5925,0.08509759095844666
run-20251017-190949,473,2542,2545,2025-06-12 17:30:00,2025-06-12 19:00:00,long,0.0018478015817977745,108166.43,107597.71035714285,-1.1306189196403362
run-20251017-190949,474,2580,2584,2025-06-13 12:30:00,2025-06-13 14:30:00,long,0.0019023860951480683,105050.99,104210.2157142857,-1.6790964319018926
