Ticker,Retorno Total (%),Win Rate (%),Trades,Profit Factor,Max Drawdown (%),Final Equity,Type
PETR4.SA,45.04471430265422,37.11340206185567,194,1.1076355894364627,-42.17807779804152,14504.471430265421,B3
PETR3.SA,43.729538971987814,35.051546391752574,194,1.0975735721074302,-31.143612550945278,14372.95389719878,B3
PRIO3.SA,31.169427216350275,37.22222222222222,180,1.041034864919347,-56.77575133509366,13116.942721635029,B3
BTCUSDT,-22.79622448990406,34.472934472934476,702,0.962198701701489,-50.177561527892244,7720.377551009594,CRYPTO
CSAN3.SA,-30.807217126838072,32.075471698113205,159,0.9069542454643323,-42.72924621916755,6919.278287316193,B3
ETHUSDT,-42.46034599500763,33.00699300699301,715,0.9372350434626505,-77.4696132503171,5753.965400499237,CRYPTO
NEOUSDT,-54.664522048157316,32.92349726775956,732,0.9508908983800719,-72.81678219064275,4533.547795184269,CRYPTO
BNBUSDT,-62.40870379881582,32.75632490013315,751,0.8702391843754028,-69.4190016479551,3759.129620118418,CRYPTO
LTCUSDT,-73.58784077271102,30.409356725146196,684,0.8752548979076514,-75.79061269938965,2641.215922728898,CRYPTO
UGPA3.SA,-109.2526975387444,35.8974358974359,78,0.6647135432250063,-105.28344642671308,-925.2697538744396,B3
