time,equity
2025-06-20T17:00:00,9999.802657863813
2025-06-26T20:30:00,9999.627509958416
2025-06-27T08:30:00,9999.465907050064
2025-06-29T23:00:00,9999.31685681593
2025-06-30T09:30:00,9999.16723508395
2025-07-04T05:30:00,9999.01944260303
2025-07-09T07:00:00,9998.883217498853
2025-07-10T11:00:00,9997.33075906977
2025-07-15T13:30:00,10001.288363130334
2025-07-17T20:30:00,9999.999524618515
2025-07-22T02:00:00,9999.875317801114
2025-07-24T23:00:00,9998.349600790092
2025-07-25T11:30:00,10000.626998092896
2025-07-29T04:00:00,10000.710854693378
2025-07-29T19:00:00,10000.501584796451
2025-08-06T14:30:00,10000.10800578862
2025-08-09T22:00:00,9999.830125596654
2025-08-10T04:00:00,9999.97629371516
2025-08-12T17:30:00,9999.496793850545
2025-08-25T16:30:00,10003.156274472927
2025-08-29T13:00:00,10004.419013511664
2025-09-02T00:00:00,10001.989288468556
2025-09-02T13:00:00,10002.36706085008
2025-09-04T23:00:00,10002.620673665333
2025-09-07T02:00:00,10002.809611336384
2025-09-07T20:30:00,10002.725207882844
2025-09-08T01:30:00,10002.639060205553
2025-09-08T08:00:00,10002.552858087256
2025-09-09T01:00:00,10002.467123905777
2025-09-09T07:00:00,10002.937784504393
2025-09-09T15:30:00,10003.5204341421
2025-09-11T14:00:00,10003.43420302111
2025-09-12T16:00:00,10003.348352601084
2025-09-12T17:00:00,10003.350371674755
2025-09-15T09:30:00,10003.263121346368
2025-09-16T17:00:00,10003.402122479225
2025-09-17T11:30:00,10003.316660616376
2025-09-18T23:30:00,10003.520251042704
2025-09-25T01:30:00,10003.434811100833
